Cod Depto,Departamento,Cod en texto ,Municipio,Dirección Territorial ,Director Territorial ,Alcalde,Población 2017,No. Víctimas por Declaración,No. Sujetos Atención ,"Acto terrorista , Atentados, Combates, Enfrentamientos , Hostigamientos",Amenaza,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,Desaparición forzada,Desplazamiento Forzado,"Homicidio, Masacre","Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",Secuestro,Tortura,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",Abandono o Despojo Forzado de Tierras,Perdida de Bienes Muebles o Inmuebles ,Puntos de Atención,Personas Atendidas,Solicitudes de AH,Solicitudes de Registro,Solicitudes de Oferta,Otras Solicitudes,Total Solicitudes Recibidas,Priorizado,En Construcción,En Formulación,En proceso de contratación,En Funcionamiento ,Misiones Humanitarias 2012-2017,Emergencias Humanitarias 2012-2017,Incluido,No Incluido,Excluido,En Valoración,RECEPCIÓN FORMATOS / Defensoria,RECEPCIÓN FORMATOS / Personeria,RECEPCIÓN FORMATOS / Procuraduria,RECEPCIÓN FORMATOS / Entidad No Informa ,RECEPCIÓN FORMATOS / Consulados,Beneficiarios Dinero Atención Humanitaria,Valor Dinero Atención Humanitaria,Beneficiarios especie Atención Humanitaria,Valor especie Atención Humanitaria,Caracterización de Población Víctima - PAARI Módulo de Asistencia 2012-2017 - Hogares,Caracterización de Población Víctima - PAARI Módulo de Asistencia 2012-2017 - Personas,Caracterización de Población Víctima - PAARI Módulo de Asistencia 2012-2017 - con discapacidad,Atencion Humanitaria 2012-2017 - Giros,Atencion Humanitaria 2012-2017- Valor,Ayuda Humanitaria por Otros Hechos Diferentes al Desplazamiento 2012-2017 - Víctimas,Ayuda Humanitaria por Otros Hechos Diferentes al Desplazamiento 2012-2017 - Valor,PAARI - Módulo de Reparación 2012- 2017 - Víctimas,PAARI - Módulo de Reparación 2012- 2017 - NNA,Estrategia de Recuperación Emocional ,Indemnizaciones 2012-2017 - No. de Indemnizaciones,Indemnizaciones 2012-2017 - Valor,Programa de Acompañamiento 2017 - Con intención de recibir acompañamiento,Programa de Acompañamiento 2017 - En un Negocio,Programa de Acompañamiento 2017 - En Terreno Rural ,Programa de Acompañamiento 2017 - En Vivienda,Programa de Acompañamiento 2017 - En Educación,Identificación,Acercamiento ,Alistamiento ,Pre-Consulta o Consulta Previa,Caracterización del Daño,Diagnóstico del Daño,Diseño y Formulación,En Fase de Diseño e Implementación del PIRC,PIRC aprobado por CTJ,Sin Especificar,Total SRC en el municipio,SIN FUD,SRC en Valoración,SRC Incluido,DEVOLUCION MP ,SRC No Incluido,SRC Indentificados,Apoyo a Entes Territoriales,Atención y Ayuda Humanitaria ,Proyectos de Infraestructura Social y Comunitaria,Indemnizaciones,Centros Regionales *(Aporte  Unidad Victimas)
5,Antioquia,05001, Medellín,Antioquia,Jorge Mario Alzate Maldonado,Federico Andres Gutierrez Zuluaga,2508452,649555,507975,5502,63524,1311,29035,455616,217750,653,2877,1427,680,0,1464,6,228948,169406,59311,3771,85238,317726,1,0,0,0,0,49,121,58183,43101,0,204,8240,85909,8847,1,0,423,257,969,567,109584,358488,19403,546710,405011,1132,1447,77996,1242,4303,70083,448021,6655,1904,207,3632,348,2,0,0,0,0,1,0,0,1,0,4,1,0,3,0,0,4,823,406458,0,448021,0
5,Antioquia,05002, Abejorral,Antioquia,Jorge Mario Alzate Maldonado,Mario De Jesús Gutiérrez Guzmán,19096,4775,4137,45,363,7,5,4561,488,3,13,4,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,574,62,0,2,1,637,0,0,0,0,0,0,0,817,2761,189,4176,2284,3,4,889,1,86,240,1742,108,14,21,63,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288,0,1742,0
5,Antioquia,05004, Abriaquí,Antioquia,Jorge Mario Alzate Maldonado,Jhon Fredy López Sepúlveda,2019,1511,1186,1,17,1,0,1462,85,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,65,0,1,0,399,0,0,0,0,0,0,0,71,241,12,319,139,0,0,57,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0
5,Antioquia,05021, Alejandría,Antioquia,Jorge Mario Alzate Maldonado,Luis Fernando López Pérez,3393,5286,4342,16,86,7,26,5330,485,10,92,2,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,348,0,1,41,1437,1,0,0,0,0,0,0,406,1145,77,3280,1567,1,1,650,0,44,218,1693,31,6,2,8,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1568,0,1693,0
5,Antioquia,05030, Amagá,Antioquia,Jorge Mario Alzate Maldonado,Wilser Darío Molina Molina,29980,1762,1213,10,72,7,12,1342,438,2,4,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,368,279,0,1,0,628,22,0,0,0,0,0,0,237,830,30,1180,603,9,12,299,3,33,846,6510,25,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,6510,0
5,Antioquia,05031, Amalfi,Antioquia,Jorge Mario Alzate Maldonado,Román Fernando Monsalve Sánchez,22414,5514,4184,39,95,8,44,5357,380,17,15,8,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,22,7,667,171,0,7,28,824,0,0,0,13,9,227,119,499,1777,98,2086,1080,13,17,433,9,2,0,0,16,3,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,1097,13,0,0
5,Antioquia,05034, Andes,Antioquia,Jorge Mario Alzate Maldonado,John Jairo Mejía Aramburo ,46621,3973,3066,18,45,7,77,3216,730,13,43,1,8,0,10,1,7090,4776,523,0,3667,8966,0,0,0,0,0,15,3,878,619,0,5,1,1156,355,0,0,6,5,76,504,859,2992,98,2916,1616,25,31,1137,28,3,1393,7865,77,14,15,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,1648,0,7865,0
5,Antioquia,05036, Angelópolis,Antioquia,Jorge Mario Alzate Maldonado,Olga Lucia Zapata Marín,9216,1400,1024,2,29,0,12,1284,170,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,82,0,3,0,368,0,0,0,0,0,0,0,70,222,12,740,350,5,6,64,0,0,52,347,9,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,347,0
5,Antioquia,05038, Angostura,Antioquia,Jorge Mario Alzate Maldonado,Marta Lucia Porras Arenas,11139,2813,2271,19,9,1,12,2850,315,13,7,2,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,2,5,560,170,0,3,0,736,0,0,0,0,0,0,0,174,681,42,1431,749,16,19,217,3,0,263,1505,9,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,1505,0
5,Antioquia,05040, Anorí,Antioquia,Jorge Mario Alzate Maldonado,Nicolás Guillermo Herón Arango,17521,7453,6672,72,80,2,15,7108,464,74,6,0,8,0,33,1,6526,6913,681,0,573,8167,0,0,0,0,0,12,39,552,143,0,1,0,699,0,0,0,5,3,0,0,1205,4145,138,6740,3100,71,87,504,3,0,256,1591,26,2,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3187,58,1591,0
