Cod Depto,Departamento,Cod en texto ,Municipio,Dirección Territorial ,Director Territorial ,Alcalde,Población 2017,No. Víctimas por Declaración,No. Sujetos Atención ,"Acto terrorista , Atentados, Combates, Enfrentamientos , Hostigamientos",Amenaza,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,Desaparición forzada,Desplazamiento Forzado,"Homicidio, Masacre","Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",Secuestro,Tortura,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",Abandono o Despojo Forzado de Tierras,Perdida de Bienes Muebles o Inmuebles 
5,Antioquia,5001, Medellín,Antioquia,Jorge Mario Alzate Maldonado,Federico Andres Gutierrez Zuluaga,2508452,649555,507975,5502,63524,1311,29035,455616,217750,653,2877,1427,680,0,1464
5,Antioquia,5002, Abejorral,Antioquia,Jorge Mario Alzate Maldonado,Mario De Jesús Gutiérrez Guzmán,19096,4775,4137,45,363,7,5,4561,488,3,13,4,1,0,22
5,Antioquia,5004, Abriaquí,Antioquia,Jorge Mario Alzate Maldonado,Jhon Fredy López Sepúlveda,2019,1511,1186,1,17,1,0,1462,85,0,9,0,0,0,1
5,Antioquia,5021, Alejandría,Antioquia,Jorge Mario Alzate Maldonado,Luis Fernando López Pérez,3393,5286,4342,16,86,7,26,5330,485,10,92,2,2,0,18
5,Antioquia,5030, Amagá,Antioquia,Jorge Mario Alzate Maldonado,Wilser Darío Molina Molina,29980,1762,1213,10,72,7,12,1342,438,2,4,3,3,0,4
5,Antioquia,5031, Amalfi,Antioquia,Jorge Mario Alzate Maldonado,Román Fernando Monsalve Sánchez,22414,5514,4184,39,95,8,44,5357,380,17,15,8,6,0,22
5,Antioquia,5034, Andes,Antioquia,Jorge Mario Alzate Maldonado,John Jairo Mejía Aramburo ,46621,3973,3066,18,45,7,77,3216,730,13,43,1,8,0,10
5,Antioquia,5036, Angelópolis,Antioquia,Jorge Mario Alzate Maldonado,Olga Lucia Zapata Marín,9216,1400,1024,2,29,0,12,1284,170,0,2,0,0,0,10
5,Antioquia,5038, Angostura,Antioquia,Jorge Mario Alzate Maldonado,Marta Lucia Porras Arenas,11139,2813,2271,19,9,1,12,2850,315,13,7,2,1,0,28
5,Antioquia,5040, Anorí,Antioquia,Jorge Mario Alzate Maldonado,Nicolás Guillermo Herón Arango,17521,7453,6672,72,80,2,15,7108,464,74,6,0,8,0,33
5,Antioquia,5042, Santafé De Antioqui,Antioquia,Jorge Mario Alzate Maldonado,Saulo Armando Rivera Fernández,24905,3134,2224,5,18,5,25,2671,500,4,6,0,2,0,5
5,Antioquia,5044, Anza,Antioquia,Jorge Mario Alzate Maldonado,Alexandra Sánchez Marín,7591,3794,2944,5,22,0,0,3704,179,4,3,3,0,0,26
5,Antioquia,5055, Argelia,Antioquia,Jorge Mario Alzate Maldonado,Bairo Martínez Morales,8426,14162,12331,192,576,207,54,14151,543,47,864,207,12,0,105
5,Antioquia,5059, Armenia,Antioquia,Jorge Mario Alzate Maldonado,Gabriel Jaime Barrera Castaño,4029,330,285,0,127,0,0,283,85,0,0,0,0,0,9
5,Antioquia,5079, Barbosa,Antioquia,Jorge Mario Alzate Maldonado,Edison García Restrepo,51617,5312,4465,17,841,29,26,4678,819,0,6,6,1,0,9
5,Antioquia,5086, Belmira,Antioquia,Jorge Mario Alzate Maldonado,Jorge Ignacio Londoño Londoño,6875,475,384,2,0,0,0,372,117,0,1,1,0,0,2
5,Antioquia,5088, Bello,Antioquia,Jorge Mario Alzate Maldonado,Cesar Augusto Suarez Mira,473423,49210,40517,168,1142,124,272,46729,3637,58,90,21,6,0,61
5,Antioquia,5091, Betania,Antioquia,Jorge Mario Alzate Maldonado,Ronald Alejandro Sánchez Sánchez,9079,1829,1684,0,565,1,0,1834,67,0,0,1,1,0,1
5,Antioquia,5093, Betulia,Antioquia,Jorge Mario Alzate Maldonado,Benjamín Alonso Suarez Castillo,17663,13908,10885,2,91,38,16,13721,587,2,60,7,4,0,55
